upload,caption,likes_list,hashtag,location,photo
2020-02-26T11:55:01.000Z,"Huh, bersantai sejenak dan mengobrol jadi opsi terbaik, menikmati kopi dan snak yang tersedia di #cafebacacanarisla.#getyourcoffeegetastory #coffeesolo #kopisolo",68 likes,#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/85135723_502091700453024_5143321275679660670_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=bklEDzFqdmYAX8tiCIF&oh=5f7ec2f912ab52236416468652d17bc7&oe=5F3B576F
2020-02-25T13:33:40.000Z,Mumetnya tugas atau pekerjaan emang harus di jalanin dan di rasakan dengan kebahagiaan.Bahagia emang begitu sederhana..#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo,49 likes,#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/87539284_203106300742661_5434539833689179367_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=9SZjTC0NxmQAX-0yI95&oh=6cc34c616c3af859bc06eedfb3cdf66c&oe=5F3DA9B6
2020-02-24T10:39:37.000Z,"Kopi, kerjaan, musik. Emang ga bisa lepas dari hidup ini. Selalu ada cerita menarik di balik semuanya.Apa lagi di tambah tempat Cafe Baca Canarisla, sunggu asik..#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo",66 likes,#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/87840236_120592949505802_5399302775350554959_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=lnNRTHeDwH4AX9u2DpQ&oh=7b67c15eaf02efcb4e135e00f8d07bf0&oe=5F3C7896
2020-02-23T12:23:13.000Z,"kalo kalian berkunjung dan puas terhadap pelayanan atau rasa dari Cafe Baca Canarisla , ada kotak box. Yaaa, sebut saja kotak 'apresiasi'..#cafebacacanarisla#getyourcoffeegetastory #coffeesolo #kopisolo",49 likes,#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo,,https://instagram.fcgk4-3.fna.fbcdn.net/v/t51.2885-15/e35/84313584_202159731156680_394129855127412632_n.jpg?_nc_ht=instagram.fcgk4-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=o8MyGvXTZssAX9_PPp0&oh=b50dfb6f122e571f08a0ba7d0d3742a2&oe=5F3D82B6
2020-02-22T08:00:51.000Z,"Pesan kopi dan rasakan kopinya lalu beri saran atau komentar ke baristanya , dan jangan lupa bayar yah :).Kami berusaha menerima masukan dari kalian..#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo",56 likes,#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/85154872_798196377313606_4647740811991683344_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=SlVNZt2a2LIAX8H4dpv&oh=88c896b2db317cb8a1a6e460dd6ffb37&oe=5F3BBE58
2020-02-21T09:54:33.000Z,"Kerutinitasan emang suka membosankan, mencoba hal baru dan di jalani dengan 'senyuman' akan lebih indah.Jangan lupa bahagia..#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo",79 likes,#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo,,https://instagram.fcgk4-3.fna.fbcdn.net/v/t51.2885-15/e35/85157433_100907038152344_8200253578797977850_n.jpg?_nc_ht=instagram.fcgk4-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=iXPQyEk33uAAX96-alT&oh=28b12bbe91825bc3ffa0ac4c9a79f560&oe=5F3D4509
2020-02-20T11:30:21.000Z,"Hidup baginya bagaikan menikmati segelas Cappucino, ringan namun tetap nikmat.Ahhhh syaduh sekali, sudahkah kamu menikmati Cappucino hari ini ?..#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo",46 likes,#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/84980079_639239926827483_5500734713048196733_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=103&_nc_ohc=OSoPaOIs3SMAX8m6Wf0&oh=16aa28651a8e6d404a31d3304a0b7e2d&oe=5F3B73CD
2020-02-17T05:51:28.000Z,"Koptop singkatan dari kopi laptop , yaa ga jelas sih . Tapi ga bisa di pungkiri lagi koptop sudah menjadi teman pada zaman sekarang ini..#cafebacacanarisla #getyourcoffeegetastory #kopisolo #coffeesolo #koptop",52 likes,#cafebacacanarisla #getyourcoffeegetastory #kopisolo #coffeesolo #koptop,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/84633085_123226349095541_7322068839246652091_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Qi_lRrfYHkgAX-YZEJb&oh=513603dda7604e157696a8666d0a63ea&oe=5F3D207C
2020-02-16T06:02:07.000Z,"Selamat hari minggu kawan kawan.Aku kayanya melihat ada yang membingungkan dari foto ini , tapi ya sudahlah ..Mungkin coffee dan baca bisa menjadi solusi..#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo",96 likes,#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo,,https://instagram.fcgk4-3.fna.fbcdn.net/v/t51.2885-15/e35/84272586_2770742889651284_749181035696205991_n.jpg?_nc_ht=instagram.fcgk4-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=r_bF6NSZElUAX92XOl1&oh=15477842ec6bb992c7406d63b126863b&oe=5F3ABD10
2020-02-15T04:36:51.000Z,"Mau coffee apa non coffee ? Mau arabica apa robusta ? . Itu perkataan yang sering di tanya oleh barista . Salah satu pembuka ruang untuk perbincangan yang hangat dan seru ,  yaaa walaupun ujungnya nanya password wifi 😊 tapi tak apa..#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo",97 likes,#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/84451885_102531347958634_95409360236900756_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=xq0KkgDVs8YAX-LNeis&oh=19fc6f1d32d064aa95ac74e952778c2b&oe=5F3D2A14
2020-02-14T05:30:21.000Z,"Ketika deadline tugas membuat mumet kepala , kopi dan teman bisa jadi salah satu solusinya..#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo",78 likes,#cafebacacanarisla #getyourcoffeegetastory #coffeesolo #kopisolo,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/84365755_862990650820935_6898162393650112572_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=103&_nc_ohc=VHG2Vt2bbYsAX9TkVlW&oh=2bdcc36d894c439aceb16269d09c8445&oe=5F3A171B
2020-02-13T05:09:48.000Z,"Terkadang mengerjakan tugas atau hanya sekedar melamun , emang lebih nikmat di cafe .Apa lagi Cafe Baca Canarisla hahaha.#cafebacacanarisla #getyourcoffeegetastory #kopisolo #coffeesolo",115 likes,#cafebacacanarisla #getyourcoffeegetastory #kopisolo #coffeesolo,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/84569575_798114230656416_786934902773140453_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=rZHPUIKFEUgAX8SN0rj&oh=0c9c537115a6433fe70e65fe0fc93784&oe=5F3AFB15
2020-02-12T04:38:28.000Z,"Perbincangan yang hangat dan di dukung oleh tempat , selalu jadi sesuatu yang menarik.Semoga sehat selalu untuk kalian semua..#cafebacacanarisla #getyourcoffeegetastory",73 likes,#cafebacacanarisla #getyourcoffeegetastory,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/84131100_1526567877497506_7278646622651963968_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=bJL0JUjJp_sAX9kCZp1&oh=39ac03b5ca0f7e2b5affdc6beb454cbe&oe=5F3C4756
2020-01-21T07:35:17.000Z,Ada yang lebih kosong dari pada langit setelah hujan: langit-langit yang ditatap lama tanpa maksud apa-apa.#cafebacacanarisla #cafebaca #ngopidisolo #solocoffeeshop #ums #umscantik #umsganteng #ums2020 #umssolo #surakarta #tempatnongkrongsolo #kedaikopisolo #kedaikopimurah #kedaikopiums #bukubacaan #bacabuku #solohits #nongkrongdisolo,74 likes,#cafebacacanarisla #cafebaca #ngopidisolo #solocoffeeshop #ums #umscantik #umsganteng #ums2020 #umssolo #surakarta #tempatnongkrongsolo #kedaikopisolo #kedaikopimurah #kedaikopiums #bukubacaan #bacabuku #solohits #nongkrongdisolo,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/82391293_1733271343482673_9032134964136687425_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=101&_nc_ohc=pIEvhXXII6EAX9ggBjS&oh=6711aa3aea8186a0b5656177de780343&oe=5F3AE767
2019-11-23T05:46:41.000Z,"Sudahlah, taruh dulu HPmu, lupakan sementara masalahmu. Kami buatkan kopi dulu, lagu clasik itu biarkan pula melantun.@cafebacacanarisla #cafebacacanarisla #solocoffeeshop #ngopidisolo #cafebaca #coffee #umssolo #umssurakarta #surakarta #umscantik #ngopi #nongkrongdisolo",674 views,#cafebacacanarisla #solocoffeeshop #ngopidisolo #cafebaca #coffee #umssolo #umssurakarta #surakarta #umscantik #ngopi #nongkrongdisolo,,https://instagram.fcgk4-2.fna.fbcdn.net/v/t50.2886-16/78549317_470413530258676_7365452382214092809_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkLmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=0xxlEDFAbHAAX9wACqy&vs=17855431528636592_2457562821&_nc_vs=HBksFQAYJEdFV1JyZ1QwWEY2djFxc0JBQW40N1BQcVZ6ZG1ia1lMQUFBRhUAAsgBABUAGCRHQkFfc3dSNnRZenRRSWNBQUs1R0ZxZUpBREozYmtZTEFBQUYVAgLIAQAoABgAGwAVAAAYABbgj7u%2F89q3PxUCKAJDMywXQDeIcrAgxJwYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&_nc_rid=9a1f73df91&oe=5F14CD5A&oh=23179ec80f5eef188a6d5e5332174783
2019-11-02T06:09:17.000Z,"Kopi dan waktu mengajarkan bahwa berjuang tak secepat menikmati hasil. Maka dari itu temani waktu kamu dengan secangkir kopi, untuk weekend yg melelahkan ini 😊#cafebacacanarisla #solocoffeeshop #ngopidisolo #umssurakarta #ums2019 #umscantik #cafebaca #coffee #buku #surakarta #ngopi #ngopiyuk #weekend",72 likes,#cafebacacanarisla #solocoffeeshop #ngopidisolo #umssurakarta #ums2019 #umscantik #cafebaca #coffee #buku #surakarta #ngopi #ngopiyuk #weekend,,https://instagram.fcgk4-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/72094345_2843922205658994_6538990451932617473_n.jpg?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=9Gk2NDBSiA4AX8dz1E0&oh=19ddacfbc5c39858dc6c58d398ecb42b&oe=5F3A7BC4
2019-10-25T05:20:38.000Z,"Banyak atau sedikit, setiap rezeki harus dirayakan dengan secangkir kopi, dan kopi yang nikmat berawal dari sini.#cafebacacanarisla #solocoffeeshop #ngopidisolo #cafebaca #umssurakarta #umssolo #baristaindonesia #ums2019 #surakarta #solo #coffee",87 likes,#cafebacacanarisla #solocoffeeshop #ngopidisolo #cafebaca #umssurakarta #umssolo #baristaindonesia #ums2019 #surakarta #solo #coffee,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/71225510_408183469861739_5325877692793108286_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=_GYiTZoL6CsAX9CVPpT&oh=eb08488f202a73adc43ff7f560771dbe&oe=5F3AA225
2019-10-21T02:44:15.000Z,"Selamat Hari Senin 😚Buat ngawalin hari mu, Minum kopi dulu di @cafebacacanarisla biar hati adem dan berfikir pun jadi lancar.Karena Kopi bisa menjadi teman setia untuk mengerjakan tugas setiap saat.Selamat beraktivitas 🤗#cafebacacanarisla #solocoffeeshop #ngopidisolo #umssurakarta #umssolo #tempatngopisolo #ums2019",87 likes,#cafebacacanarisla #solocoffeeshop #ngopidisolo #umssurakarta #umssolo #tempatngopisolo #ums2019,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/74661228_102361177825943_8775168426426548736_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=zTyvwwKcIEUAX9fA_xY&oh=118129531366d8ebd27290639f8fca70&oe=5F3BB68A
2019-10-18T06:35:53.000Z,Kata orang “Tak kenal Maka Tak Sayang”. Belum kenal kalo belum nyobain ngopi di #cafebacacanarisla Kalo udah kenal dijamin bikin nyaman.#cafebacacanarisla #ngopidisolo #solocoffeeshop #umssurakarta #ums2019 #coffeeday,140 likes,#cafebacacanarisla #cafebacacanarisla #ngopidisolo #solocoffeeshop #umssurakarta #ums2019 #coffeeday,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/73401874_156618962210515_3460333725654305025_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=AEdVE0xuf-YAX-z2Nzr&oh=d9ff72fb077c8053b05fc00418ef0b35&oe=5F3CA289
2019-08-30T02:35:22.000Z,"Kopi mulai dilirik sebagai komoditas Take Away. Banyak diantaranya membuka kedai-kedai dipinggir jalan dengan branding murah meriah. Alternatifnya adalah menggunakan susu kental manis dan bubuk perasa sebagai strategi efisiensi produksi..Kami pun melirik Take Away sebagai menu yang siap menghantarimu. Tapi daripada menggunakan bahan-bahan alternatif demi strategi tarif, Kami tetap percaya pelanggan memiliki selera tersendiri yang membuat kami tetap bertahan dua tahun belakangan..Signature Menu :- Kopi Susu Tinta Merah 17K- Kopi Susu Tinta Hitam 15K- Kopi Susu Tinta Putih 17K- Kopi Susu Tinta Emas 20K.Buka jam 09.00 – 24.00Morning Term 09.00 - 15.00.#kopipagihari #ngopipagi #kopimurah #ngopipagisolo #ngopigratis #umssolo #fakultariaums#kopisurakarta #kopicup #umscantik #coworkingspaces #coworkingspacesolo #tempatnongkrongdisolo #kedaimurah #kedaikopisolo #kopiasyik #giveaway #jumatberkah😇",93 likes,#kopipagihari #ngopipagi #kopimurah #ngopipagisolo #ngopigratis #umssolo #fakultariaums #kopisurakarta #kopicup #umscantik #coworkingspaces #coworkingspacesolo #tempatnongkrongdisolo #kedaimurah #kedaikopisolo #kopiasyik #giveaway #jumatberkah😇,https://www.instagram.com/explore/locations/585555419/depan-kampus-4-ums/,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/67496731_1099113626947870_8354615901878611702_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=i-K2WtC-vZkAX9oH2jN&oh=2458b148c5586a125fa06c89d1a85832&oe=5F3AD46A
2019-08-23T06:47:24.000Z,"Jangan kaya mas @gamapra Pagi-pagi minta dibuatin Nasi Scramble Egg sama es Apple Tea. Abis itu naik lantai dua langsung buka buku,-- koyo bakul beras. .eh malah nanya, ""Lha kok Sarapan Menu Pagimu semurah ini? Rugi nggak nih?!"".Wooo, yo jelas mas!Lha kita prinsipnya buka tempat kerja khusus kepada mahasiswa produktif kok! koyo sampean kui jane. Tapi yo cocoke tukune Kopi Pagi. Ne Cafe kok pesen Es Teh!.Menu Andalan Ngopi Pagi :- Kopi Tubruk 7,5K- Americano 8K- Vietnam Drip 9KNon Coffe- Orange Juice 6K- Teh Susu 7K- Chocolate 8K- Iced Choco Orange 10K.Buka jam 09.00 – 24.00Morning Term 09.00 - 15.00.#kopipagi #ngopipagi #kopimurah #ngopipagisolo #ngopigratis #umssurakarta #umsganteng#kopisurakarta #kopipagiini #umscantik #coworkingspace #coworkingspacesolo #kopisyop #kedaionlinemurah #jumatberkah",98 likes,#kopipagi #ngopipagi #kopimurah #ngopipagisolo #ngopigratis #umssurakarta #umsganteng #kopisurakarta #kopipagiini #umscantik #coworkingspace #coworkingspacesolo #kopisyop #kedaionlinemurah #jumatberkah,,https://instagram.fcgk4-2.fna.fbcdn.net/v/t51.2885-15/e35/67730130_2210385825921081_6911053933274704758_n.jpg?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=5SDdjz3rcUIAX_CRvDO&oh=2efdfc8c5bbbca09f9883baf71603b2c&oe=5F3A9BBF
2019-08-23T02:02:42.000Z,"Udah niat Bangun Pagi, udah siap mengawali kerjaan hari ini. Eh Pas Sarapan, datengnya nasinya keras sekal, Pernah?! Makannya di Warung terus sih!.Makanya sekali-kali ngana bangun pagi, sarapannya di cafe kami. Kan lumayan kalo sarapan sambil nonton YouTube Pake WiFi. Lha kita WiFinya up to 3Mbps. Yen ne warung? yo Sowriiiii_.Jangan kira Mahal, Vietnam Drip pagi cuma seharga Rinso Serenceng. Cuma SEMBILAN RIBU, MURAH GA TUH?!.Menu Sarapan Ngopi Pagi :- Chicken Rice Bowl 17k- Mixed Rice Bowl 12k- Scrumble Egg Rice Bowl 13K- Mie Kuah Susu 16k- Mie Kuah Susu Spesial 18k.Buka jam 09.00 – 24.00Morning Term 09.00 - 15.00.#kopipagi #ngopipagi #kopimurah #ngopipagisolo #ngopigratis #umssurakarta #umsganteng#kopisurakarta #sarapanpagi #morning #morningvibes #coworkingspace #coworkingspacesolo #kopisyop #kedaijammurah",70 likes,#kopipagi #ngopipagi #kopimurah #ngopipagisolo #ngopigratis #umssurakarta #umsganteng #kopisurakarta #sarapanpagi #morning #morningvibes #coworkingspace #coworkingspacesolo #kopisyop #kedaijammurah,https://www.instagram.com/explore/locations/585555419/depan-kampus-4-ums/,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/69147659_721315948292952_6378930676977678703_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=wmHnA1l6zDUAX9yYWtK&oh=f58b2e6113101252a4bb04e3c3b92f25&oe=5F3B8D40
2019-08-07T08:44:31.000Z,"Betapa sedihnya jika apa yang kita pinta tak tercapai adanya. Termasuk inginnya yang seger-seger, tapi apa daya dikosan hanya ada air putih~.in frame : Matcha Melted & Choco Orange.#kopisolo#kedaikopisolo #kedaikopi #tempatngopi #tempatngopiasik #tempatngopisolo #workspace #tempatnongkrong #tempatnongkrongsolo #kopi #cafe #cafebaca #buku #tempatbaca #kopibukuquotes #kopidanbuku #tempatnugas #ums #ihssolo #mahasiswaums #infoums #kopisolo #solo #kabarsoloraya",66 likes,#kopisolo #kedaikopisolo #kedaikopi #tempatngopi #tempatngopiasik #tempatngopisolo #workspace #tempatnongkrong #tempatnongkrongsolo #kopi #cafe #cafebaca #buku #tempatbaca #kopibukuquotes #kopidanbuku #tempatnugas #ums #ihssolo #mahasiswaums #infoums #kopisolo #solo #kabarsoloraya,https://www.instagram.com/explore/locations/228204735/surakarta/,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/66466092_2777605458935870_5580618696779016046_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=LzYraTT2AK0AX_xW2-n&oh=709437a14f0bb86043158281ac2b7b96&oe=5F3BC92D
